cluster_type,node_count,event_type,buffer_type,buffer_size_in_bytes,event_count,trial,duration_in_ms,measured_on
localI7,3,randomized,blocking,102400,1,1,9,2022-01-29T13-21-50
localI7,3,randomized,blocking,102400,1,2,1,2022-01-29T13-21-50
localI7,3,randomized,blocking,102400,1,3,0,2022-01-29T13-21-50
localI7,3,randomized,blocking,102400,1,4,3,2022-01-29T13-21-50
localI7,3,randomized,blocking,102400,1,5,0,2022-01-29T13-21-50
localI7,3,randomized,blocking,102400,1,6,1,2022-01-29T13-21-50
localI7,3,randomized,blocking,102400,1,7,1,2022-01-29T13-21-50
localI7,3,randomized,blocking,102400,1,8,0,2022-01-29T13-21-50
localI7,3,randomized,blocking,102400,1,9,2,2022-01-29T13-21-50
localI7,3,randomized,blocking,102400,1,10,1,2022-01-29T13-21-50
localI7,3,randomized,blocking,102400,100,1,1,2022-01-29T13-21-50
localI7,3,randomized,blocking,102400,100,2,2,2022-01-29T13-21-50
localI7,3,randomized,blocking,102400,100,3,1,2022-01-29T13-21-50
localI7,3,randomized,blocking,102400,100,4,2,2022-01-29T13-21-50
localI7,3,randomized,blocking,102400,100,5,4,2022-01-29T13-21-50
localI7,3,randomized,blocking,102400,100,6,3,2022-01-29T13-21-50
localI7,3,randomized,blocking,102400,100,7,1,2022-01-29T13-21-50
localI7,3,randomized,blocking,102400,100,8,2,2022-01-29T13-21-50
localI7,3,randomized,blocking,102400,100,9,1,2022-01-29T13-21-50
localI7,3,randomized,blocking,102400,100,10,3,2022-01-29T13-21-50
localI7,3,randomized,blocking,102400,10000,1,159,2022-01-29T13-21-50
localI7,3,randomized,blocking,102400,10000,2,106,2022-01-29T13-21-50
localI7,3,randomized,blocking,102400,10000,3,85,2022-01-29T13-21-50
localI7,3,randomized,blocking,102400,10000,4,127,2022-01-29T13-21-50
localI7,3,randomized,blocking,102400,10000,5,95,2022-01-29T13-21-50
localI7,3,randomized,blocking,102400,10000,6,103,2022-01-29T13-21-50
localI7,3,randomized,blocking,102400,10000,7,135,2022-01-29T13-21-50
localI7,3,randomized,blocking,102400,10000,8,87,2022-01-29T13-21-50
localI7,3,randomized,blocking,102400,10000,9,90,2022-01-29T13-21-50
localI7,3,randomized,blocking,102400,10000,10,122,2022-01-29T13-21-50
localI7,3,randomized,blocking,102400,1000000,1,10177,2022-01-29T13-21-50
localI7,3,randomized,blocking,102400,1000000,2,9941,2022-01-29T13-21-50
localI7,3,randomized,blocking,102400,1000000,3,11934,2022-01-29T13-21-50
localI7,3,randomized,blocking,102400,1000000,4,10988,2022-01-29T13-21-50
localI7,3,randomized,blocking,102400,1000000,5,12057,2022-01-29T13-21-50
localI7,3,randomized,blocking,102400,1000000,6,12258,2022-01-29T13-21-50
localI7,3,randomized,blocking,102400,1000000,7,10942,2022-01-29T13-21-50
localI7,3,randomized,blocking,102400,1000000,8,11556,2022-01-29T13-21-50
localI7,3,randomized,blocking,102400,1000000,9,11037,2022-01-29T13-21-50
localI7,3,randomized,blocking,102400,1000000,10,12093,2022-01-29T13-21-50
