cluster_type,node_count,event_type,buffer_type,buffer_size_in_bytes,event_count,trial,duration_in_ms,measured_on
standalone-embedded,1,randomized,none-embedded,0,1,1,14,2022-01-30T21-55-11
standalone-embedded,1,randomized,none-embedded,0,1,2,0,2022-01-30T21-55-11
standalone-embedded,1,randomized,none-embedded,0,1,3,1,2022-01-30T21-55-11
standalone-embedded,1,randomized,none-embedded,0,1,4,0,2022-01-30T21-55-11
standalone-embedded,1,randomized,none-embedded,0,1,5,0,2022-01-30T21-55-11
standalone-embedded,1,randomized,none-embedded,0,1,6,1,2022-01-30T21-55-11
standalone-embedded,1,randomized,none-embedded,0,1,7,3,2022-01-30T21-55-11
standalone-embedded,1,randomized,none-embedded,0,1,8,0,2022-01-30T21-55-11
standalone-embedded,1,randomized,none-embedded,0,1,9,2,2022-01-30T21-55-11
standalone-embedded,1,randomized,none-embedded,0,1,10,2,2022-01-30T21-55-11
standalone-embedded,1,randomized,none-embedded,0,100,1,1,2022-01-30T21-55-11
standalone-embedded,1,randomized,none-embedded,0,100,2,6,2022-01-30T21-55-11
standalone-embedded,1,randomized,none-embedded,0,100,3,1,2022-01-30T21-55-11
standalone-embedded,1,randomized,none-embedded,0,100,4,0,2022-01-30T21-55-11
standalone-embedded,1,randomized,none-embedded,0,100,5,1,2022-01-30T21-55-11
standalone-embedded,1,randomized,none-embedded,0,100,6,1,2022-01-30T21-55-11
standalone-embedded,1,randomized,none-embedded,0,100,7,2,2022-01-30T21-55-11
standalone-embedded,1,randomized,none-embedded,0,100,8,2,2022-01-30T21-55-11
standalone-embedded,1,randomized,none-embedded,0,100,9,1,2022-01-30T21-55-11
standalone-embedded,1,randomized,none-embedded,0,100,10,0,2022-01-30T21-55-11
standalone-embedded,1,randomized,none-embedded,0,10000,1,38,2022-01-30T21-55-11
standalone-embedded,1,randomized,none-embedded,0,10000,2,11,2022-01-30T21-55-11
standalone-embedded,1,randomized,none-embedded,0,10000,3,14,2022-01-30T21-55-11
standalone-embedded,1,randomized,none-embedded,0,10000,4,19,2022-01-30T21-55-11
standalone-embedded,1,randomized,none-embedded,0,10000,5,14,2022-01-30T21-55-11
standalone-embedded,1,randomized,none-embedded,0,10000,6,30,2022-01-30T21-55-11
standalone-embedded,1,randomized,none-embedded,0,10000,7,21,2022-01-30T21-55-11
standalone-embedded,1,randomized,none-embedded,0,10000,8,11,2022-01-30T21-55-11
standalone-embedded,1,randomized,none-embedded,0,10000,9,17,2022-01-30T21-55-11
standalone-embedded,1,randomized,none-embedded,0,10000,10,29,2022-01-30T21-55-11
standalone-embedded,1,randomized,none-embedded,0,1000000,1,785,2022-01-30T21-55-11
standalone-embedded,1,randomized,none-embedded,0,1000000,2,790,2022-01-30T21-55-11
standalone-embedded,1,randomized,none-embedded,0,1000000,3,842,2022-01-30T21-55-11
standalone-embedded,1,randomized,none-embedded,0,1000000,4,563,2022-01-30T21-55-11
standalone-embedded,1,randomized,none-embedded,0,1000000,5,660,2022-01-30T21-55-11
standalone-embedded,1,randomized,none-embedded,0,1000000,6,626,2022-01-30T21-55-11
standalone-embedded,1,randomized,none-embedded,0,1000000,7,569,2022-01-30T21-55-11
standalone-embedded,1,randomized,none-embedded,0,1000000,8,613,2022-01-30T21-55-11
standalone-embedded,1,randomized,none-embedded,0,1000000,9,762,2022-01-30T21-55-11
standalone-embedded,1,randomized,none-embedded,0,1000000,10,821,2022-01-30T21-55-11
