cluster_type,node_count,event_type,buffer_type,buffer_size_in_bytes,event_count,trial,duration_in_ms,measured_on
localI7,3,randomized,blocking,1048576,1,1,36,2022-01-29T14-42-07
localI7,3,randomized,blocking,1048576,1,2,9,2022-01-29T14-42-07
localI7,3,randomized,blocking,1048576,1,3,0,2022-01-29T14-42-07
localI7,3,randomized,blocking,1048576,1,4,0,2022-01-29T14-42-07
localI7,3,randomized,blocking,1048576,1,5,2,2022-01-29T14-42-07
localI7,3,randomized,blocking,1048576,1,6,1,2022-01-29T14-42-07
localI7,3,randomized,blocking,1048576,1,7,1,2022-01-29T14-42-07
localI7,3,randomized,blocking,1048576,1,8,14,2022-01-29T14-42-07
localI7,3,randomized,blocking,1048576,1,9,1,2022-01-29T14-42-07
localI7,3,randomized,blocking,1048576,1,10,23,2022-01-29T14-42-07
localI7,3,randomized,blocking,1048576,100,1,16,2022-01-29T14-42-07
localI7,3,randomized,blocking,1048576,100,2,4,2022-01-29T14-42-07
localI7,3,randomized,blocking,1048576,100,3,1,2022-01-29T14-42-07
localI7,3,randomized,blocking,1048576,100,4,1,2022-01-29T14-42-07
localI7,3,randomized,blocking,1048576,100,5,0,2022-01-29T14-42-07
localI7,3,randomized,blocking,1048576,100,6,1,2022-01-29T14-42-07
localI7,3,randomized,blocking,1048576,100,7,1,2022-01-29T14-42-07
localI7,3,randomized,blocking,1048576,100,8,0,2022-01-29T14-42-07
localI7,3,randomized,blocking,1048576,100,9,3,2022-01-29T14-42-07
localI7,3,randomized,blocking,1048576,100,10,2,2022-01-29T14-42-07
localI7,3,randomized,blocking,1048576,10000,1,23,2022-01-29T14-42-07
localI7,3,randomized,blocking,1048576,10000,2,25,2022-01-29T14-42-07
localI7,3,randomized,blocking,1048576,10000,3,28,2022-01-29T14-42-07
localI7,3,randomized,blocking,1048576,10000,4,26,2022-01-29T14-42-07
localI7,3,randomized,blocking,1048576,10000,5,32,2022-01-29T14-42-07
localI7,3,randomized,blocking,1048576,10000,6,37,2022-01-29T14-42-07
localI7,3,randomized,blocking,1048576,10000,7,99,2022-01-29T14-42-07
localI7,3,randomized,blocking,1048576,10000,8,23,2022-01-29T14-42-07
localI7,3,randomized,blocking,1048576,10000,9,33,2022-01-29T14-42-07
localI7,3,randomized,blocking,1048576,10000,10,59,2022-01-29T14-42-07
localI7,3,randomized,blocking,1048576,1000000,1,7475,2022-01-29T14-42-07
localI7,3,randomized,blocking,1048576,1000000,2,9483,2022-01-29T14-42-07
localI7,3,randomized,blocking,1048576,1000000,3,10027,2022-01-29T14-42-07
localI7,3,randomized,blocking,1048576,1000000,4,9009,2022-01-29T14-42-07
localI7,3,randomized,blocking,1048576,1000000,5,10095,2022-01-29T14-42-07
localI7,3,randomized,blocking,1048576,1000000,6,9379,2022-01-29T14-42-07
localI7,3,randomized,blocking,1048576,1000000,7,9654,2022-01-29T14-42-07
localI7,3,randomized,blocking,1048576,1000000,8,8794,2022-01-29T14-42-07
localI7,3,randomized,blocking,1048576,1000000,9,9178,2022-01-29T14-42-07
localI7,3,randomized,blocking,1048576,1000000,10,9125,2022-01-29T14-42-07
