cluster_type,node_count,event_type,buffer_type,buffer_size_in_bytes,event_count,trial,duration_in_ms,measured_on
localI7,3,randomized,blocking,10240,1,1,1,2022-01-29T12-48-43
localI7,3,randomized,blocking,10240,1,2,0,2022-01-29T12-48-43
localI7,3,randomized,blocking,10240,1,3,2,2022-01-29T12-48-43
localI7,3,randomized,blocking,10240,1,4,0,2022-01-29T12-48-43
localI7,3,randomized,blocking,10240,1,5,1,2022-01-29T12-48-43
localI7,3,randomized,blocking,10240,1,6,0,2022-01-29T12-48-43
localI7,3,randomized,blocking,10240,1,7,30,2022-01-29T12-48-43
localI7,3,randomized,blocking,10240,1,8,0,2022-01-29T12-48-43
localI7,3,randomized,blocking,10240,1,9,1,2022-01-29T12-48-43
localI7,3,randomized,blocking,10240,1,10,2,2022-01-29T12-48-43
localI7,3,randomized,blocking,10240,100,1,4,2022-01-29T12-48-43
localI7,3,randomized,blocking,10240,100,2,5,2022-01-29T12-48-43
localI7,3,randomized,blocking,10240,100,3,1,2022-01-29T12-48-43
localI7,3,randomized,blocking,10240,100,4,0,2022-01-29T12-48-43
localI7,3,randomized,blocking,10240,100,5,2,2022-01-29T12-48-43
localI7,3,randomized,blocking,10240,100,6,2,2022-01-29T12-48-43
localI7,3,randomized,blocking,10240,100,7,1,2022-01-29T12-48-43
localI7,3,randomized,blocking,10240,100,8,2,2022-01-29T12-48-43
localI7,3,randomized,blocking,10240,100,9,2,2022-01-29T12-48-43
localI7,3,randomized,blocking,10240,100,10,1,2022-01-29T12-48-43
localI7,3,randomized,blocking,10240,10000,1,203,2022-01-29T12-48-43
localI7,3,randomized,blocking,10240,10000,2,157,2022-01-29T12-48-43
localI7,3,randomized,blocking,10240,10000,3,161,2022-01-29T12-48-43
localI7,3,randomized,blocking,10240,10000,4,183,2022-01-29T12-48-43
localI7,3,randomized,blocking,10240,10000,5,290,2022-01-29T12-48-43
localI7,3,randomized,blocking,10240,10000,6,179,2022-01-29T12-48-43
localI7,3,randomized,blocking,10240,10000,7,211,2022-01-29T12-48-43
localI7,3,randomized,blocking,10240,10000,8,156,2022-01-29T12-48-43
localI7,3,randomized,blocking,10240,10000,9,174,2022-01-29T12-48-43
localI7,3,randomized,blocking,10240,10000,10,207,2022-01-29T12-48-43
localI7,3,randomized,blocking,10240,1000000,1,18385,2022-01-29T12-48-43
localI7,3,randomized,blocking,10240,1000000,2,21093,2022-01-29T12-48-43
localI7,3,randomized,blocking,10240,1000000,3,21234,2022-01-29T12-48-43
localI7,3,randomized,blocking,10240,1000000,4,20873,2022-01-29T12-48-43
localI7,3,randomized,blocking,10240,1000000,5,21431,2022-01-29T12-48-43
localI7,3,randomized,blocking,10240,1000000,6,20389,2022-01-29T12-48-43
localI7,3,randomized,blocking,10240,1000000,7,20635,2022-01-29T12-48-43
localI7,3,randomized,blocking,10240,1000000,8,21030,2022-01-29T12-48-43
localI7,3,randomized,blocking,10240,1000000,9,21108,2022-01-29T12-48-43
localI7,3,randomized,blocking,10240,1000000,10,21375,2022-01-29T12-48-43
