cluster_type,node_count,event_type,buffer_type,buffer_size_in_bytes,event_count,trial,duration_in_ms,measured_on
localI7,3,randomized,blocking,1048576,1,1,38,2022-01-29T13-59-14
localI7,3,randomized,blocking,1048576,1,2,0,2022-01-29T13-59-14
localI7,3,randomized,blocking,1048576,1,3,1,2022-01-29T13-59-14
localI7,3,randomized,blocking,1048576,1,4,0,2022-01-29T13-59-14
localI7,3,randomized,blocking,1048576,1,5,0,2022-01-29T13-59-14
localI7,3,randomized,blocking,1048576,1,6,0,2022-01-29T13-59-14
localI7,3,randomized,blocking,1048576,1,7,0,2022-01-29T13-59-14
localI7,3,randomized,blocking,1048576,1,8,2,2022-01-29T13-59-14
localI7,3,randomized,blocking,1048576,1,9,0,2022-01-29T13-59-14
localI7,3,randomized,blocking,1048576,1,10,0,2022-01-29T13-59-14
localI7,3,randomized,blocking,1048576,100,1,1,2022-01-29T13-59-14
localI7,3,randomized,blocking,1048576,100,2,2,2022-01-29T13-59-14
localI7,3,randomized,blocking,1048576,100,3,1,2022-01-29T13-59-14
localI7,3,randomized,blocking,1048576,100,4,3,2022-01-29T13-59-14
localI7,3,randomized,blocking,1048576,100,5,1,2022-01-29T13-59-14
localI7,3,randomized,blocking,1048576,100,6,2,2022-01-29T13-59-14
localI7,3,randomized,blocking,1048576,100,7,2,2022-01-29T13-59-14
localI7,3,randomized,blocking,1048576,100,8,0,2022-01-29T13-59-14
localI7,3,randomized,blocking,1048576,100,9,1,2022-01-29T13-59-14
localI7,3,randomized,blocking,1048576,100,10,1,2022-01-29T13-59-14
localI7,3,randomized,blocking,1048576,10000,1,37,2022-01-29T13-59-14
localI7,3,randomized,blocking,1048576,10000,2,29,2022-01-29T13-59-14
localI7,3,randomized,blocking,1048576,10000,3,31,2022-01-29T13-59-14
localI7,3,randomized,blocking,1048576,10000,4,31,2022-01-29T13-59-14
localI7,3,randomized,blocking,1048576,10000,5,31,2022-01-29T13-59-14
localI7,3,randomized,blocking,1048576,10000,6,41,2022-01-29T13-59-14
localI7,3,randomized,blocking,1048576,10000,7,30,2022-01-29T13-59-14
localI7,3,randomized,blocking,1048576,10000,8,31,2022-01-29T13-59-14
localI7,3,randomized,blocking,1048576,10000,9,35,2022-01-29T13-59-14
localI7,3,randomized,blocking,1048576,10000,10,33,2022-01-29T13-59-14
localI7,3,randomized,blocking,1048576,1000000,1,8097,2022-01-29T13-59-14
localI7,3,randomized,blocking,1048576,1000000,2,9002,2022-01-29T13-59-14
localI7,3,randomized,blocking,1048576,1000000,3,11537,2022-01-29T13-59-14
localI7,3,randomized,blocking,1048576,1000000,4,8757,2022-01-29T13-59-14
localI7,3,randomized,blocking,1048576,1000000,5,10862,2022-01-29T13-59-14
localI7,3,randomized,blocking,1048576,1000000,6,16748,2022-01-29T13-59-14
localI7,3,randomized,blocking,1048576,1000000,7,11697,2022-01-29T13-59-14
localI7,3,randomized,blocking,1048576,1000000,8,9977,2022-01-29T13-59-14
localI7,3,randomized,blocking,1048576,1000000,9,10024,2022-01-29T13-59-14
localI7,3,randomized,blocking,1048576,1000000,10,9677,2022-01-29T13-59-14
