cluster_type,node_count,event_type,buffer_type,buffer_size_in_bytes,event_count,trial,duration_in_ms,measured_on
localI7,3,randomized,non-blocking,102400,1,1,15,2022-01-29T13-38-35
localI7,3,randomized,non-blocking,102400,1,2,1,2022-01-29T13-38-35
localI7,3,randomized,non-blocking,102400,1,3,3,2022-01-29T13-38-35
localI7,3,randomized,non-blocking,102400,1,4,2,2022-01-29T13-38-35
localI7,3,randomized,non-blocking,102400,1,5,0,2022-01-29T13-38-35
localI7,3,randomized,non-blocking,102400,1,6,0,2022-01-29T13-38-35
localI7,3,randomized,non-blocking,102400,1,7,1,2022-01-29T13-38-35
localI7,3,randomized,non-blocking,102400,1,8,1,2022-01-29T13-38-35
localI7,3,randomized,non-blocking,102400,1,9,2,2022-01-29T13-38-35
localI7,3,randomized,non-blocking,102400,1,10,1,2022-01-29T13-38-35
localI7,3,randomized,non-blocking,102400,100,1,3,2022-01-29T13-38-35
localI7,3,randomized,non-blocking,102400,100,2,3,2022-01-29T13-38-35
localI7,3,randomized,non-blocking,102400,100,3,3,2022-01-29T13-38-35
localI7,3,randomized,non-blocking,102400,100,4,0,2022-01-29T13-38-35
localI7,3,randomized,non-blocking,102400,100,5,0,2022-01-29T13-38-35
localI7,3,randomized,non-blocking,102400,100,6,0,2022-01-29T13-38-35
localI7,3,randomized,non-blocking,102400,100,7,2,2022-01-29T13-38-35
localI7,3,randomized,non-blocking,102400,100,8,2,2022-01-29T13-38-35
localI7,3,randomized,non-blocking,102400,100,9,1,2022-01-29T13-38-35
localI7,3,randomized,non-blocking,102400,100,10,3,2022-01-29T13-38-35
localI7,3,randomized,non-blocking,102400,10000,1,117,2022-01-29T13-38-35
localI7,3,randomized,non-blocking,102400,10000,2,104,2022-01-29T13-38-35
localI7,3,randomized,non-blocking,102400,10000,3,79,2022-01-29T13-38-35
localI7,3,randomized,non-blocking,102400,10000,4,92,2022-01-29T13-38-35
localI7,3,randomized,non-blocking,102400,10000,5,78,2022-01-29T13-38-35
localI7,3,randomized,non-blocking,102400,10000,6,105,2022-01-29T13-38-35
localI7,3,randomized,non-blocking,102400,10000,7,97,2022-01-29T13-38-35
localI7,3,randomized,non-blocking,102400,10000,8,75,2022-01-29T13-38-35
localI7,3,randomized,non-blocking,102400,10000,9,102,2022-01-29T13-38-35
localI7,3,randomized,non-blocking,102400,10000,10,170,2022-01-29T13-38-35
localI7,3,randomized,non-blocking,102400,1000000,1,10026,2022-01-29T13-38-35
localI7,3,randomized,non-blocking,102400,1000000,2,12399,2022-01-29T13-38-35
localI7,3,randomized,non-blocking,102400,1000000,3,11831,2022-01-29T13-38-35
localI7,3,randomized,non-blocking,102400,1000000,4,12799,2022-01-29T13-38-35
localI7,3,randomized,non-blocking,102400,1000000,5,13204,2022-01-29T13-38-35
localI7,3,randomized,non-blocking,102400,1000000,6,11999,2022-01-29T13-38-35
localI7,3,randomized,non-blocking,102400,1000000,7,12443,2022-01-29T13-38-35
localI7,3,randomized,non-blocking,102400,1000000,8,12652,2022-01-29T13-38-35
localI7,3,randomized,non-blocking,102400,1000000,9,12348,2022-01-29T13-38-35
localI7,3,randomized,non-blocking,102400,1000000,10,12008,2022-01-29T13-38-35
