cluster_type,node_count,event_type,buffer_type,buffer_size_in_bytes,event_count,trial,duration_in_ms,measured_on
localI7,3,randomized,non-blocking,10240,1,1,17,2022-01-29T13-08-52
localI7,3,randomized,non-blocking,10240,1,2,1,2022-01-29T13-08-52
localI7,3,randomized,non-blocking,10240,1,3,12,2022-01-29T13-08-52
localI7,3,randomized,non-blocking,10240,1,4,1,2022-01-29T13-08-52
localI7,3,randomized,non-blocking,10240,1,5,0,2022-01-29T13-08-52
localI7,3,randomized,non-blocking,10240,1,6,2,2022-01-29T13-08-52
localI7,3,randomized,non-blocking,10240,1,7,0,2022-01-29T13-08-52
localI7,3,randomized,non-blocking,10240,1,8,1,2022-01-29T13-08-52
localI7,3,randomized,non-blocking,10240,1,9,3,2022-01-29T13-08-52
localI7,3,randomized,non-blocking,10240,1,10,0,2022-01-29T13-08-52
localI7,3,randomized,non-blocking,10240,100,1,3,2022-01-29T13-08-52
localI7,3,randomized,non-blocking,10240,100,2,4,2022-01-29T13-08-52
localI7,3,randomized,non-blocking,10240,100,3,0,2022-01-29T13-08-52
localI7,3,randomized,non-blocking,10240,100,4,4,2022-01-29T13-08-52
localI7,3,randomized,non-blocking,10240,100,5,4,2022-01-29T13-08-52
localI7,3,randomized,non-blocking,10240,100,6,1,2022-01-29T13-08-52
localI7,3,randomized,non-blocking,10240,100,7,5,2022-01-29T13-08-52
localI7,3,randomized,non-blocking,10240,100,8,1,2022-01-29T13-08-52
localI7,3,randomized,non-blocking,10240,100,9,4,2022-01-29T13-08-52
localI7,3,randomized,non-blocking,10240,100,10,5,2022-01-29T13-08-52
localI7,3,randomized,non-blocking,10240,10000,1,252,2022-01-29T13-08-52
localI7,3,randomized,non-blocking,10240,10000,2,226,2022-01-29T13-08-52
localI7,3,randomized,non-blocking,10240,10000,3,221,2022-01-29T13-08-52
localI7,3,randomized,non-blocking,10240,10000,4,189,2022-01-29T13-08-52
localI7,3,randomized,non-blocking,10240,10000,5,186,2022-01-29T13-08-52
localI7,3,randomized,non-blocking,10240,10000,6,180,2022-01-29T13-08-52
localI7,3,randomized,non-blocking,10240,10000,7,233,2022-01-29T13-08-52
localI7,3,randomized,non-blocking,10240,10000,8,192,2022-01-29T13-08-52
localI7,3,randomized,non-blocking,10240,10000,9,249,2022-01-29T13-08-52
localI7,3,randomized,non-blocking,10240,10000,10,214,2022-01-29T13-08-52
localI7,3,randomized,non-blocking,10240,1000000,1,20511,2022-01-29T13-08-52
localI7,3,randomized,non-blocking,10240,1000000,2,19991,2022-01-29T13-08-52
localI7,3,randomized,non-blocking,10240,1000000,3,19999,2022-01-29T13-08-52
localI7,3,randomized,non-blocking,10240,1000000,4,20364,2022-01-29T13-08-52
localI7,3,randomized,non-blocking,10240,1000000,5,20987,2022-01-29T13-08-52
localI7,3,randomized,non-blocking,10240,1000000,6,21178,2022-01-29T13-08-52
localI7,3,randomized,non-blocking,10240,1000000,7,20605,2022-01-29T13-08-52
localI7,3,randomized,non-blocking,10240,1000000,8,20890,2022-01-29T13-08-52
localI7,3,randomized,non-blocking,10240,1000000,9,20103,2022-01-29T13-08-52
localI7,3,randomized,non-blocking,10240,1000000,10,19985,2022-01-29T13-08-52
