cluster_type,node_count,event_type,buffer_type,buffer_size_in_bytes,event_count,trial,duration_in_ms,measured_on
localI7,3,randomized,none,0,1,1,86,2022-01-30T11-33-05
localI7,3,randomized,none,0,1,2,11,2022-01-30T11-33-05
localI7,3,randomized,none,0,1,3,6,2022-01-30T11-33-05
localI7,3,randomized,none,0,1,4,10,2022-01-30T11-33-05
localI7,3,randomized,none,0,1,5,8,2022-01-30T11-33-05
localI7,3,randomized,none,0,1,6,12,2022-01-30T11-33-05
localI7,3,randomized,none,0,1,7,4,2022-01-30T11-33-05
localI7,3,randomized,none,0,1,8,13,2022-01-30T11-33-05
localI7,3,randomized,none,0,1,9,13,2022-01-30T11-33-05
localI7,3,randomized,none,0,1,10,19,2022-01-30T11-33-05
localI7,3,randomized,none,0,100,1,674,2022-01-30T11-33-05
localI7,3,randomized,none,0,100,2,641,2022-01-30T11-33-05
localI7,3,randomized,none,0,100,3,662,2022-01-30T11-33-05
localI7,3,randomized,none,0,100,4,569,2022-01-30T11-33-05
localI7,3,randomized,none,0,100,5,649,2022-01-30T11-33-05
localI7,3,randomized,none,0,100,6,637,2022-01-30T11-33-05
localI7,3,randomized,none,0,100,7,540,2022-01-30T11-33-05
localI7,3,randomized,none,0,100,8,678,2022-01-30T11-33-05
localI7,3,randomized,none,0,100,9,704,2022-01-30T11-33-05
localI7,3,randomized,none,0,100,10,532,2022-01-30T11-33-05
localI7,3,randomized,none,0,10000,1,63637,2022-01-30T11-33-05
localI7,3,randomized,none,0,10000,2,167104,2022-01-30T11-33-05
localI7,3,randomized,none,0,10000,3,207542,2022-01-30T11-33-05
localI7,3,randomized,none,0,10000,4,202018,2022-01-30T11-33-05
localI7,3,randomized,none,0,10000,5,207604,2022-01-30T11-33-05
localI7,3,randomized,none,0,10000,6,203265,2022-01-30T11-33-05
localI7,3,randomized,none,0,10000,7,223869,2022-01-30T11-33-05
localI7,3,randomized,none,0,10000,8,202324,2022-01-30T11-33-05
localI7,3,randomized,none,0,10000,9,222241,2022-01-30T11-33-05
localI7,3,randomized,none,0,10000,10,224618,2022-01-30T11-33-05
