cluster_type,node_count,event_type,buffer_type,buffer_size_in_bytes,event_count,trial,duration_in_ms,measured_on
localI7,3,randomized,blocking,1024,1,1,18,2022-01-29T22-29-37
localI7,3,randomized,blocking,1024,1,2,3,2022-01-29T22-29-37
localI7,3,randomized,blocking,1024,1,3,2,2022-01-29T22-29-37
localI7,3,randomized,blocking,1024,1,4,2,2022-01-29T22-29-37
localI7,3,randomized,blocking,1024,1,5,0,2022-01-29T22-29-37
localI7,3,randomized,blocking,1024,1,6,0,2022-01-29T22-29-37
localI7,3,randomized,blocking,1024,1,7,1,2022-01-29T22-29-37
localI7,3,randomized,blocking,1024,1,8,1,2022-01-29T22-29-37
localI7,3,randomized,blocking,1024,1,9,2,2022-01-29T22-29-37
localI7,3,randomized,blocking,1024,1,10,0,2022-01-29T22-29-37
localI7,3,randomized,blocking,1024,100,1,17,2022-01-29T22-29-37
localI7,3,randomized,blocking,1024,100,2,15,2022-01-29T22-29-37
localI7,3,randomized,blocking,1024,100,3,14,2022-01-29T22-29-37
localI7,3,randomized,blocking,1024,100,4,22,2022-01-29T22-29-37
localI7,3,randomized,blocking,1024,100,5,14,2022-01-29T22-29-37
localI7,3,randomized,blocking,1024,100,6,36,2022-01-29T22-29-37
localI7,3,randomized,blocking,1024,100,7,22,2022-01-29T22-29-37
localI7,3,randomized,blocking,1024,100,8,17,2022-01-29T22-29-37
localI7,3,randomized,blocking,1024,100,9,23,2022-01-29T22-29-37
localI7,3,randomized,blocking,1024,100,10,14,2022-01-29T22-29-37
localI7,3,randomized,blocking,1024,10000,1,1283,2022-01-29T22-29-37
localI7,3,randomized,blocking,1024,10000,2,1283,2022-01-29T22-29-37
localI7,3,randomized,blocking,1024,10000,3,1279,2022-01-29T22-29-37
localI7,3,randomized,blocking,1024,10000,4,1220,2022-01-29T22-29-37
localI7,3,randomized,blocking,1024,10000,5,1391,2022-01-29T22-29-37
localI7,3,randomized,blocking,1024,10000,6,1207,2022-01-29T22-29-37
localI7,3,randomized,blocking,1024,10000,7,1282,2022-01-29T22-29-37
localI7,3,randomized,blocking,1024,10000,8,1234,2022-01-29T22-29-37
localI7,3,randomized,blocking,1024,10000,9,1271,2022-01-29T22-29-37
localI7,3,randomized,blocking,1024,10000,10,1335,2022-01-29T22-29-37
localI7,3,randomized,blocking,1024,1000000,1,265607,2022-01-29T22-29-37
localI7,3,randomized,blocking,1024,1000000,2,322202,2022-01-29T22-29-37
localI7,3,randomized,blocking,1024,1000000,3,479895,2022-01-29T22-29-37
localI7,3,randomized,blocking,1024,1000000,4,485271,2022-01-29T22-29-37
localI7,3,randomized,blocking,1024,1000000,5,483267,2022-01-29T22-29-37
localI7,3,randomized,blocking,1024,1000000,6,477779,2022-01-29T22-29-37
localI7,3,randomized,blocking,1024,1000000,7,481351,2022-01-29T22-29-37
