cluster_type,node_count,event_type,buffer_type,buffer_size_in_bytes,event_count,trial,duration_in_ms,measured_on
localI7,3,randomized,non-blocking,1024,1,1,61,2022-01-30T10-06-33
localI7,3,randomized,non-blocking,1024,1,2,2,2022-01-30T10-06-33
localI7,3,randomized,non-blocking,1024,1,3,3,2022-01-30T10-06-33
localI7,3,randomized,non-blocking,1024,1,4,0,2022-01-30T10-06-33
localI7,3,randomized,non-blocking,1024,1,5,2,2022-01-30T10-06-33
localI7,3,randomized,non-blocking,1024,1,6,1,2022-01-30T10-06-33
localI7,3,randomized,non-blocking,1024,1,7,2,2022-01-30T10-06-33
localI7,3,randomized,non-blocking,1024,1,8,0,2022-01-30T10-06-33
localI7,3,randomized,non-blocking,1024,1,9,0,2022-01-30T10-06-33
localI7,3,randomized,non-blocking,1024,1,10,2,2022-01-30T10-06-33
localI7,3,randomized,non-blocking,1024,100,1,22,2022-01-30T10-06-33
localI7,3,randomized,non-blocking,1024,100,2,20,2022-01-30T10-06-33
localI7,3,randomized,non-blocking,1024,100,3,14,2022-01-30T10-06-33
localI7,3,randomized,non-blocking,1024,100,4,13,2022-01-30T10-06-33
localI7,3,randomized,non-blocking,1024,100,5,18,2022-01-30T10-06-33
localI7,3,randomized,non-blocking,1024,100,6,18,2022-01-30T10-06-33
localI7,3,randomized,non-blocking,1024,100,7,26,2022-01-30T10-06-33
localI7,3,randomized,non-blocking,1024,100,8,23,2022-01-30T10-06-33
localI7,3,randomized,non-blocking,1024,100,9,11,2022-01-30T10-06-33
localI7,3,randomized,non-blocking,1024,100,10,17,2022-01-30T10-06-33
localI7,3,randomized,non-blocking,1024,10000,1,1060,2022-01-30T10-06-33
localI7,3,randomized,non-blocking,1024,10000,2,1169,2022-01-30T10-06-33
localI7,3,randomized,non-blocking,1024,10000,3,1026,2022-01-30T10-06-33
localI7,3,randomized,non-blocking,1024,10000,4,1070,2022-01-30T10-06-33
localI7,3,randomized,non-blocking,1024,10000,5,1087,2022-01-30T10-06-33
localI7,3,randomized,non-blocking,1024,10000,6,1178,2022-01-30T10-06-33
localI7,3,randomized,non-blocking,1024,10000,7,1190,2022-01-30T10-06-33
localI7,3,randomized,non-blocking,1024,10000,8,1162,2022-01-30T10-06-33
localI7,3,randomized,non-blocking,1024,10000,9,1298,2022-01-30T10-06-33
localI7,3,randomized,non-blocking,1024,10000,10,1171,2022-01-30T10-06-33
localI7,3,randomized,non-blocking,1024,1000000,1,201626,2022-01-30T10-06-33
localI7,3,randomized,non-blocking,1024,1000000,2,456221,2022-01-30T10-06-33
localI7,3,randomized,non-blocking,1024,1000000,3,452940,2022-01-30T10-06-33
localI7,3,randomized,non-blocking,1024,1000000,4,460096,2022-01-30T10-06-33
localI7,3,randomized,non-blocking,1024,1000000,5,447377,2022-01-30T10-06-33
localI7,3,randomized,non-blocking,1024,1000000,6,456483,2022-01-30T10-06-33
