cluster_type,node_count,event_type,buffer_type,buffer_size_in_bytes,event_count,trial,duration_in_ms,measured_on
localI7,3,randomized,non-blocking,1048576,1,1,32,2022-01-30T09-47-09
localI7,3,randomized,non-blocking,1048576,1,2,0,2022-01-30T09-47-09
localI7,3,randomized,non-blocking,1048576,1,3,1,2022-01-30T09-47-09
localI7,3,randomized,non-blocking,1048576,1,4,0,2022-01-30T09-47-09
localI7,3,randomized,non-blocking,1048576,1,5,1,2022-01-30T09-47-09
localI7,3,randomized,non-blocking,1048576,1,6,0,2022-01-30T09-47-09
localI7,3,randomized,non-blocking,1048576,1,7,3,2022-01-30T09-47-09
localI7,3,randomized,non-blocking,1048576,1,8,0,2022-01-30T09-47-09
localI7,3,randomized,non-blocking,1048576,1,9,2,2022-01-30T09-47-09
localI7,3,randomized,non-blocking,1048576,1,10,0,2022-01-30T09-47-09
localI7,3,randomized,non-blocking,1048576,100,1,3,2022-01-30T09-47-09
localI7,3,randomized,non-blocking,1048576,100,2,5,2022-01-30T09-47-09
localI7,3,randomized,non-blocking,1048576,100,3,1,2022-01-30T09-47-09
localI7,3,randomized,non-blocking,1048576,100,4,4,2022-01-30T09-47-09
localI7,3,randomized,non-blocking,1048576,100,5,2,2022-01-30T09-47-09
localI7,3,randomized,non-blocking,1048576,100,6,3,2022-01-30T09-47-09
localI7,3,randomized,non-blocking,1048576,100,7,0,2022-01-30T09-47-09
localI7,3,randomized,non-blocking,1048576,100,8,3,2022-01-30T09-47-09
localI7,3,randomized,non-blocking,1048576,100,9,4,2022-01-30T09-47-09
localI7,3,randomized,non-blocking,1048576,100,10,1,2022-01-30T09-47-09
localI7,3,randomized,non-blocking,1048576,10000,1,41,2022-01-30T09-47-09
localI7,3,randomized,non-blocking,1048576,10000,2,35,2022-01-30T09-47-09
localI7,3,randomized,non-blocking,1048576,10000,3,29,2022-01-30T09-47-09
localI7,3,randomized,non-blocking,1048576,10000,4,29,2022-01-30T09-47-09
localI7,3,randomized,non-blocking,1048576,10000,5,38,2022-01-30T09-47-09
localI7,3,randomized,non-blocking,1048576,10000,6,28,2022-01-30T09-47-09
localI7,3,randomized,non-blocking,1048576,10000,7,27,2022-01-30T09-47-09
localI7,3,randomized,non-blocking,1048576,10000,8,38,2022-01-30T09-47-09
localI7,3,randomized,non-blocking,1048576,10000,9,35,2022-01-30T09-47-09
localI7,3,randomized,non-blocking,1048576,10000,10,43,2022-01-30T09-47-09
localI7,3,randomized,non-blocking,1048576,1000000,1,8386,2022-01-30T09-47-09
localI7,3,randomized,non-blocking,1048576,1000000,2,12475,2022-01-30T09-47-09
localI7,3,randomized,non-blocking,1048576,1000000,3,11692,2022-01-30T09-47-09
localI7,3,randomized,non-blocking,1048576,1000000,4,11901,2022-01-30T09-47-09
localI7,3,randomized,non-blocking,1048576,1000000,5,12110,2022-01-30T09-47-09
localI7,3,randomized,non-blocking,1048576,1000000,6,12921,2022-01-30T09-47-09
localI7,3,randomized,non-blocking,1048576,1000000,7,11531,2022-01-30T09-47-09
localI7,3,randomized,non-blocking,1048576,1000000,8,11844,2022-01-30T09-47-09
localI7,3,randomized,non-blocking,1048576,1000000,9,12596,2022-01-30T09-47-09
localI7,3,randomized,non-blocking,1048576,1000000,10,13037,2022-01-30T09-47-09
